CUS_CUST_ID_BUY,PLATA_CUENTA_1,PLATA_CUENTA_2,INVERSION
54018.0,250.99,0.0,pending
23513.0,20.05,2220.05,warmup
21230.0,0.0,0.0,warmup
100387.0,0.0,0.0,eligible
97357.0,0.0,0.0,eligible
1276.0,103.1,0.0,warmup
22083.0,0.0,0.0,warmup
36009.0,0.0,0.0,eligible
34173.0,13145.2,8043.6,investing
62550.0,2040.18,1029.67,investing
14525.0,0.0,0.0,eligible
104314.0,0.0,0.0,eligible
51395.0,0.0,0.0,investing
114111.0,723.14,591.7,investing
97515.0,0.0,0.0,eligible
101488.0,3150.0,3262.5,pending
62742.0,127.51,122.51,investing
100040.0,75164.98,55304.44,investing
117750.0,0.0,0.0,warmup
104496.0,0.0,0.0,eligible
109169.0,6949.26,869.99,warmup
36482.0,0.0,0.0,eligible
102188.0,654.39,24.74,investing
107171.0,90297.0,78316.05,eligible
110350.0,0.0,0.0,eligible
107152.0,2929.0,2553.0,pending
104203.0,0.0,0.0,pending
106429.0,0.0,0.0,eligible
111373.0,4322.83,4311.68,investing
86195.0,0.0,0.0,warmup
76747.0,0.0,0.0,non_eligible
101857.0,0.0,0.0,pending
92097.0,2901.01,2.19,pending
120495.0,0.0,0.0,eligible
85737.0,1611.18,2015.18,pending
108219.0,0.0,0.0,eligible
199224.0,0.0,0.0,eligible
111056.0,16928.74,7400.22,investing
106468.0,24810.01,56.46,investing
103692.0,0.0,0.0,eligible
113291.0,0.0,0.0,eligible
105248.0,0.0,0.0,eligible
117348.0,374.85,1000.0,warmup
106614.0,0.0,0.0,eligible
137910.0,0.0,0.0,eligible
121227.0,26153.7,26086.27,investing
182278.0,0.0,0.0,eligible
127890.0,0.0,0.0,eligible
106507.0,0.0,0.0,warmup
126967.0,85218.88,150499.21,investing
464074.0,0.0,0.0,investing
104371.0,0.0,0.0,warmup
170781.0,0.0,0.0,investing
115682.0,1311.92,2821.89,investing
109089.0,823145.66,767104.17,eligible
102566.0,0.0,0.0,warmup
195833.0,0.0,0.0,pending
104578.0,0.0,0.0,eligible
104778.0,0.0,0.0,warmup
551009.0,20113.34,3174.51,investing
116978.0,0.0,0.0,eligible
116855.0,55164.93,14816.91,warmup
104487.0,93.36,502.84,pending
110163.0,0.0,6500.0,eligible
202727.0,0.0,0.0,warmup
659361.0,150.0,0.0,warmup
111064.0,0.0,0.0,eligible
142713.0,34009.76,61029.93,investing
116673.0,742.33,1392.0,eligible
215347.0,77.6,0.0,eligible
447419.0,5684.15,5342.83,warmup
143168.0,0.0,0.0,warmup
442336.0,0.0,0.0,eligible
125257.0,0.0,0.0,eligible
1089496.0,5798.4,12097.56,investing
711505.0,0.0,0.0,eligible
824853.0,0.0,,eligible
685275.0,0.0,0.0,pending
362165.0,0.0,0.0,eligible
283377.0,0.0,0.0,eligible
585226.0,3715.01,0.0,eligible
196440.0,0.0,0.0,eligible
187442.0,0.0,0.0,warmup
133151.0,0.0,0.0,eligible
372520.0,0.0,0.0,eligible
163890.0,0.0,0.0,eligible
154204.0,20082.09,720.55,investing
361001.0,12104.22,12104.22,banned
650586.0,2550.0,0.0,warmup
188473.0,1300.0,0.0,eligible
424282.0,19176.72,16922.99,investing
240212.0,0.0,0.0,warmup
185014.0,0.0,0.0,eligible
320650.0,75.0,75.0,warmup
595469.0,0.0,0.0,eligible
174941.0,3441.14,2595.97,investing
382838.0,3243.42,3831.2,warmup
953723.0,4316.57,5135.07,pending
395856.0,0.0,0.0,warmup
498800.0,300.0,0.0,eligible
896033.0,70.03,35070.03,investing
621809.0,0.0,0.0,eligible
488391.0,0.0,0.0,eligible
925814.0,4809.16,5201.9,warmup
965089.0,0.0,0.0,eligible
967354.0,0.0,0.0,eligible
401456.0,0.0,0.0,warmup
410695.0,32625.13,14065.73,investing
324161.0,0.0,0.0,eligible
178764.0,2550.18,2579.68,investing
418104.0,16188.77,11963.16,investing
420915.0,1740.0,0.0,eligible
1048812.0,0.0,0.0,warmup
294709.0,0.0,0.0,disable_pending
1017017.0,2192.27,522.0,eligible
761507.0,88710.12,88494.29,investing
628526.0,2.37,2.28,investing
193237.0,0.0,0.0,eligible
513134.0,350.0,0.0,eligible
819405.0,0.0,0.0,eligible
637358.0,0.0,,eligible
953563.0,0.0,0.0,eligible
403162.0,4080.93,3957.56,investing
1083942.0,0.0,0.0,eligible
537951.0,0.0,0.0,eligible
200384.0,8446.65,7109.57,investing
953711.0,0.0,0.0,eligible
890929.0,1527.0,1000.0,pending
645505.0,25.0,25.0,warmup
837630.0,0.0,0.0,non_eligible
702420.0,18.4,0.0,pending
1027361.0,0.0,0.0,eligible
863031.0,648.8,648.8,warmup
887758.0,0.0,0.0,warmup
684286.0,2100.0,0.0,warmup
210830.0,21.35,1800.16,investing
1245448.0,0.0,0.0,pending
650253.0,0.0,0.0,pending
1061120.0,382.36,1488.99,eligible
927019.0,0.0,0.0,eligible
1155476.0,601.73,0.0,investing
1034581.0,0.0,0.0,eligible
548661.0,1950.0,600.0,warmup
